City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hithadhoo,MV,2021-03-27 20:19:03,-0.6,73.0833,83.88,71,100,14.43
68,Jackson,US,2021-03-27 20:18:16,42.4165,-122.8345,62.01,48,1,4.61
69,New Norfolk,AU,2021-03-27 20:18:05,-42.7826,147.0587,53.01,84,100,3.49
70,Tuktoyaktuk,CA,2021-03-27 20:22:19,69.4541,-133.0374,-16.6,76,90,4.61
71,Visby,SE,2021-03-27 20:20:15,57.6409,18.296,41.0,93,90,16.11
72,Mahebourg,MU,2021-03-27 20:19:24,-20.4081,57.7,77.0,83,75,5.75
73,Rodrigues Alves,BR,2021-03-27 20:22:20,-7.738,-72.6509,87.8,70,75,3.44
74,Mecca,SA,2021-03-27 20:22:21,21.4267,39.8261,73.2,51,0,7.02
75,Murgab,TM,2021-03-27 20:21:33,37.4966,61.9714,59.0,88,90,11.5
76,Guerrero Negro,MX,2021-03-27 20:22:05,27.9769,-114.0611,72.01,30,0,8.88
77,Igarka,RU,2021-03-27 20:22:21,67.4667,86.5833,10.15,96,100,5.88
78,Maniitsoq,GL,2021-03-27 20:22:21,65.4167,-52.9,-2.58,73,13,6.78
79,Canico,PT,2021-03-27 20:22:22,32.6333,-16.85,64.4,88,75,20.71
80,Avarua,CK,2021-03-27 20:22:22,-21.2078,-159.775,84.2,74,90,21.85
81,Rani,IN,2021-03-27 20:22:22,25.3503,73.3089,79.39,17,0,5.21
82,Bredasdorp,ZA,2021-03-27 20:22:14,-34.5322,20.0403,60.8,67,32,4.61
83,Hermanus,ZA,2021-03-27 20:21:59,-34.4187,19.2345,62.01,74,12,1.01
84,Naifaru,MV,2021-03-27 20:22:23,5.4444,73.3657,81.32,78,99,12.26
85,College,US,2021-03-27 20:22:23,64.8569,-147.8028,23.0,74,90,3.44
86,Bethel,US,2021-03-27 20:22:24,41.3712,-73.414,64.99,36,20,8.05
87,Loukhi,RU,2021-03-27 20:22:15,66.0764,33.0381,34.14,91,66,9.46
88,Turayf,SA,2021-03-27 20:18:25,31.6725,38.6637,48.2,57,0,9.22
89,Deputatskiy,RU,2021-03-27 20:22:24,69.3,139.9,-2.22,98,100,2.04
90,Hilo,US,2021-03-27 20:21:00,19.7297,-155.09,80.6,57,90,8.05
91,Kavaratti,IN,2021-03-27 20:22:25,10.5669,72.642,83.23,77,100,5.19
92,Fairbanks,US,2021-03-27 20:22:25,64.8378,-147.7164,23.0,79,90,4.61
93,Eston,CA,2021-03-27 20:22:26,51.1501,-108.7514,41.0,60,75,12.66
94,Ocampo,MX,2021-03-27 20:22:26,21.65,-101.5,84.0,50,5,10.94
95,Maraba,BR,2021-03-27 20:22:26,-5.3686,-49.1178,82.4,78,0,2.84
96,Bambous Virieux,MU,2021-03-27 20:22:27,-20.3428,57.7575,78.01,83,75,5.75
97,Tasiilaq,GL,2021-03-27 20:22:27,65.6145,-37.6368,15.8,62,90,23.02
98,Ola,RU,2021-03-27 20:22:27,59.5833,151.2833,-6.88,98,93,4.76
99,Ondangwa,NA,2021-03-27 20:22:28,-17.9167,15.95,73.33,69,54,9.44
100,Ilo,PE,2021-03-27 20:22:28,-17.6394,-71.3375,73.4,64,0,6.91
101,Hasaki,JP,2021-03-27 20:20:09,35.7333,140.8333,59.0,77,75,17.27
102,Lubango,AO,2021-03-27 20:22:28,-14.9172,13.4925,61.11,91,100,1.5
103,Saskylakh,RU,2021-03-27 20:22:29,71.9167,114.0833,-14.62,100,100,0.74
104,Touros,BR,2021-03-27 20:22:29,-5.1989,-35.4608,78.8,89,75,4.61
105,Siniscola,IT,2021-03-27 20:22:29,40.5719,9.6922,50.0,93,0,2.3
106,Provideniya,RU,2021-03-27 20:22:30,64.3833,-173.3,-1.88,99,100,4.21
107,Oranjemund,NA,2021-03-27 20:22:30,-28.55,16.4333,62.11,73,3,18.75
108,Carnarvon,AU,2021-03-27 20:18:39,-24.8667,113.6333,75.2,78,40,5.75
109,Rawson,AR,2021-03-27 20:20:51,-43.3002,-65.1023,77.58,20,98,14.88
110,Barrow,US,2021-03-27 20:18:52,71.2906,-156.7887,-14.8,91,1,2.26
111,Luderitz,NA,2021-03-27 20:22:31,-26.6481,15.1594,66.0,71,0,17.65
112,Mitsamiouli,KM,2021-03-27 20:22:31,-11.3847,43.2844,82.53,71,97,3.31
113,Jeremie,HT,2021-03-27 20:18:36,18.65,-74.1167,80.73,70,26,4.14
114,Airai,TL,2021-03-27 20:22:10,-8.9266,125.4092,59.54,92,100,2.28
115,Mocuba,MZ,2021-03-27 20:22:31,-16.8392,36.9856,73.51,93,2,3.18
116,Ayan,RU,2021-03-27 20:19:24,56.45,138.1667,9.07,92,100,4.81
117,Port Hardy,CA,2021-03-27 20:22:32,50.6996,-127.4199,50.0,71,90,13.8
118,Gorontalo,ID,2021-03-27 20:22:32,0.5412,123.0595,75.33,95,100,3.69
119,Nelson Bay,AU,2021-03-27 20:22:33,-32.7167,152.15,59.0,94,75,4.61
120,Kargasok,RU,2021-03-27 20:19:41,59.0556,80.8572,31.37,99,100,2.19
121,Bukama,CD,2021-03-27 20:22:33,-9.2,25.85,67.75,96,17,0.67
122,Rabak,SD,2021-03-27 20:22:33,13.1809,32.74,85.96,15,5,15.14
123,Sabinas Hidalgo,MX,2021-03-27 20:22:34,26.5,-100.1667,96.89,17,5,11.88
124,Victoria,HK,2021-03-27 20:22:34,22.2855,114.1577,75.0,87,24,4.36
125,Pevek,RU,2021-03-27 20:22:35,69.7008,170.3133,-19.23,97,77,3.85
126,San Pedro,PH,2021-03-27 20:22:35,14.35,121.0167,81.0,78,20,3.44
127,Cidreira,BR,2021-03-27 20:22:16,-30.1811,-50.2056,77.81,74,100,5.84
128,Dobra,RO,2021-03-27 20:22:35,44.7833,25.7167,51.01,70,0,1.14
129,Fortuna,US,2021-03-27 20:18:55,40.5982,-124.1573,66.99,72,20,9.22
130,At-Bashi,KG,2021-03-27 20:22:36,41.1702,75.8106,38.95,83,100,1.07
131,Mangrol,IN,2021-03-27 20:22:36,21.1167,70.1167,79.56,56,30,12.37
132,Kasamwa,TZ,2021-03-27 20:22:36,-2.85,32.4333,65.12,89,100,5.53
133,Kusa,RU,2021-03-27 20:22:37,55.3383,59.4406,27.82,94,83,6.62
134,Crotone,IT,2021-03-27 20:18:09,39.0851,17.1178,53.6,87,0,3.44
135,Manavalakurichi,IN,2021-03-27 20:22:37,8.1333,77.3,84.2,74,40,4.61
136,Flin Flon,CA,2021-03-27 20:22:38,54.7682,-101.865,28.4,40,40,12.66
137,Portland,US,2021-03-27 20:18:06,45.5234,-122.6762,59.0,54,40,2.01
138,Ancud,CL,2021-03-27 20:22:38,-41.8697,-73.8203,66.99,59,0,5.75
139,Atambua,ID,2021-03-27 20:22:38,-9.1061,124.8925,73.11,90,100,3.71
140,Santiago Del Estero,AR,2021-03-27 20:21:29,-27.7951,-64.2615,77.59,27,0,14.76
141,Fuling,CN,2021-03-27 20:22:39,29.7022,107.3919,59.02,78,1,2.64
142,Belyy Yar,RU,2021-03-27 20:22:39,53.6039,91.3903,24.8,86,100,2.24
143,Nantucket,US,2021-03-27 20:19:23,41.2835,-70.0995,48.2,71,1,11.5
144,Vaini,TO,2021-03-27 20:22:40,-21.2,-175.2,80.6,89,20,10.36
145,Kaitangata,NZ,2021-03-27 20:22:40,-46.2817,169.8464,55.47,78,100,3.69
146,Aklavik,CA,2021-03-27 20:22:37,68.2191,-135.0107,-5.8,65,75,8.05
147,Severo-Kurilsk,RU,2021-03-27 20:22:40,50.6789,156.125,26.56,80,100,35.84
148,Castro,BR,2021-03-27 20:22:41,-24.7911,-50.0119,73.94,74,94,6.67
149,Najran,SA,2021-03-27 20:22:41,17.4924,44.1277,73.4,16,0,3.18
150,Nikolskoye,RU,2021-03-27 20:22:41,59.7035,30.7861,42.01,65,0,6.71
151,Mokhsogollokh,RU,2021-03-27 20:22:42,61.4681,128.9203,8.94,98,90,4.27
152,Tonantins,BR,2021-03-27 20:22:42,-2.8731,-67.8022,86.5,62,62,3.89
153,Dukat,RU,2021-03-27 20:22:42,62.55,155.55,-11.88,95,90,2.89
154,Iqaluit,CA,2021-03-27 20:22:43,63.7506,-68.5145,-7.01,64,75,1.07
155,Garden City,US,2021-03-27 20:21:27,42.3256,-83.331,57.2,62,40,6.91
156,Ilulissat,GL,2021-03-27 20:22:43,69.2167,-51.1,-9.4,45,20,10.36
157,Randolph,US,2021-03-27 20:22:43,35.7001,-79.8164,78.8,60,90,5.75
158,Chumikan,RU,2021-03-27 20:22:44,54.7183,135.315,11.41,96,99,3.04
159,Coahuayana,MX,2021-03-27 20:22:25,18.7333,-103.6833,82.4,42,20,9.22
160,Kabanjahe,ID,2021-03-27 20:22:44,3.1001,98.4908,77.0,94,40,4.61
161,Tarko-Sale,RU,2021-03-27 20:21:22,64.9225,77.785,-1.1,96,62,12.15
162,Hirson,FR,2021-03-27 20:20:04,49.9226,4.0826,42.8,65,75,8.05
163,Torbay,CA,2021-03-27 20:22:45,47.6666,-52.7314,28.99,100,90,31.07
164,Bandarbeyla,SO,2021-03-27 20:22:45,9.4942,50.8122,79.16,78,15,12.28
165,Chuy,UY,2021-03-27 20:21:45,-33.6971,-53.4616,74.35,80,100,5.1
166,Bousso,TD,2021-03-27 20:22:46,10.4795,16.7117,85.86,14,3,6.93
167,Tateyama,JP,2021-03-27 20:22:46,34.9833,139.8667,62.01,69,100,4.0
168,Khvastovichi,RU,2021-03-27 20:22:46,53.4694,35.0941,31.51,98,90,2.28
169,Chilca,PE,2021-03-27 20:22:47,-12.5211,-76.7372,75.2,64,0,5.75
170,Alcantara,BR,2021-03-27 20:22:47,-2.4089,-44.4147,82.4,83,75,14.97
171,Mandalgovi,MN,2021-03-27 20:18:48,45.7625,106.2708,21.52,65,3,14.18
172,Dong Xoai,VN,2021-03-27 20:22:47,11.5333,106.9167,74.75,83,100,2.42
173,Calatayud,ES,2021-03-27 20:22:48,41.3535,-1.6432,57.2,76,12,4.09
174,Sitka,US,2021-03-27 20:18:20,57.0531,-135.33,37.4,75,90,6.91
175,Cape Town,ZA,2021-03-27 20:22:48,-33.9258,18.4232,62.6,63,0,19.57
176,Hirara,JP,2021-03-27 20:22:48,24.8,125.2833,73.76,88,5,16.15
177,Emerald,AU,2021-03-27 20:22:49,-23.5333,148.1667,68.0,94,9,5.75
178,Lagoa,PT,2021-03-27 20:22:49,39.05,-27.9833,59.23,89,31,12.06
179,Oparino,RU,2021-03-27 20:22:49,59.8518,48.2783,13.62,99,52,2.95
180,Gretna,US,2021-03-27 20:22:49,29.9147,-90.054,84.2,69,90,12.66
181,Mehamn,NO,2021-03-27 20:22:50,71.0357,27.8492,34.84,88,100,13.15
182,Tabou,CI,2021-03-27 20:22:50,4.423,-7.3528,78.6,85,13,5.35
183,Coihaique,CL,2021-03-27 20:18:06,-45.5752,-72.0662,64.4,55,75,8.05
184,Tilichiki,RU,2021-03-27 20:22:11,60.4667,166.1,0.36,90,100,11.03
185,Mazagao,BR,2021-03-27 20:22:51,-0.115,-51.2894,79.93,82,100,5.32
186,Boa Vista,BR,2021-03-27 20:22:51,2.8197,-60.6733,89.6,48,75,8.05
187,Kyzyl,RU,2021-03-27 20:22:52,51.7,94.45,11.14,77,97,0.83
188,Norman Wells,CA,2021-03-27 20:19:16,65.282,-126.8329,10.4,72,90,9.22
189,Kushiro,JP,2021-03-27 20:22:52,42.975,144.3747,33.94,82,99,8.7
190,Takoradi,GH,2021-03-27 20:20:33,4.8845,-1.7554,79.83,83,100,6.96
191,Codrington,AU,2021-03-27 20:22:53,-38.2667,141.9667,53.22,86,100,6.93
192,Esperance,AU,2021-03-27 20:22:53,-33.8667,121.9,57.2,94,32,6.91
193,Hami,CN,2021-03-27 20:22:53,42.8,93.45,54.64,47,100,7.87
194,Caravelas,BR,2021-03-27 20:22:54,-17.7125,-39.2481,80.82,65,2,7.49
195,Longyearbyen,SJ,2021-03-27 20:22:54,78.2186,15.6401,24.8,86,90,35.68
196,Shache,CN,2021-03-27 20:22:54,38.4167,77.2406,57.81,28,55,9.06
197,Safaga,EG,2021-03-27 20:22:54,26.7292,33.9365,66.2,26,0,11.5
198,Labuhan,ID,2021-03-27 20:22:31,-6.8844,112.2051,78.66,84,11,2.39
199,Itanhem,BR,2021-03-27 20:22:55,-17.1664,-40.33,88.63,40,1,7.92
200,Burnie,AU,2021-03-27 20:22:55,-41.0667,145.9167,54.84,80,32,10.13
201,Constitucion,CL,2021-03-27 20:22:56,-35.3333,-72.4167,69.48,49,43,15.93
202,Butaritari,KI,2021-03-27 20:22:56,3.0707,172.7902,81.54,78,87,14.03
203,Ondjiva,AO,2021-03-27 20:22:57,-17.0667,15.7333,69.39,81,91,7.78
204,Jamestown,US,2021-03-27 20:21:13,42.097,-79.2353,64.99,41,1,10.2
205,Atasu,KZ,2021-03-27 20:22:57,48.6814,71.6433,32.45,97,100,7.31
206,Cap Malheureux,MU,2021-03-27 20:19:52,-19.9842,57.6142,78.01,82,100,1.01
207,Pop,UZ,2021-03-27 20:19:31,40.8736,71.1089,55.4,82,90,4.76
208,Suntar,RU,2021-03-27 20:22:58,62.1444,117.6319,17.87,94,99,5.39
209,Zhob,PK,2021-03-27 20:22:58,31.3411,69.4481,70.61,27,1,6.85
210,Talara,PE,2021-03-27 20:22:58,-4.5772,-81.2719,87.8,45,0,10.36
211,Ler,SS,2021-03-27 20:22:59,8.3018,30.1418,86.68,38,47,3.47
212,San Jose,US,2021-03-27 20:20:53,37.3394,-121.895,77.0,23,1,4.61
213,Morondava,MG,2021-03-27 20:22:59,-20.2833,44.2833,78.35,71,22,5.97
214,Mae Sai,TH,2021-03-27 20:23:00,20.4335,99.8762,73.0,94,6,2.75
215,Calolziocorte,IT,2021-03-27 20:23:00,45.7954,9.4377,52.0,83,18,3.49
216,Nador,MA,2021-03-27 20:21:25,35.174,-2.9287,62.6,77,40,8.05
217,Talnakh,RU,2021-03-27 20:23:00,69.4865,88.3972,0.36,98,77,1.32
218,Talawakele,LK,2021-03-27 20:23:00,6.9371,80.6581,63.25,90,99,1.7
219,Meadow Lake,US,2021-03-27 20:23:01,34.8014,-106.5436,60.01,22,20,14.97
220,Shumikha,RU,2021-03-27 20:23:01,55.2261,63.2961,31.46,96,100,15.14
221,Ivanava,BY,2021-03-27 20:23:02,52.1451,25.5365,43.41,76,19,10.54
222,Cuamba,MZ,2021-03-27 20:23:02,-14.8031,36.5372,69.35,94,4,0.78
223,Kruisfontein,ZA,2021-03-27 20:21:21,-34.0033,24.7314,60.01,73,2,1.01
224,Barcelos,PT,2021-03-27 20:23:03,41.5388,-8.6151,59.0,71,0,5.14
225,Saldanha,ZA,2021-03-27 20:23:03,-33.0117,17.9442,59.0,72,0,6.91
226,Qarqin,AF,2021-03-27 20:23:03,37.4185,66.0436,65.21,54,100,25.86
227,Perg,AT,2021-03-27 20:23:04,48.25,14.6333,44.6,70,75,8.05
228,Dehloran,IR,2021-03-27 20:23:04,32.6941,47.2679,58.55,29,0,12.75
229,San Cristobal,VE,2021-03-27 20:23:04,7.7669,-72.225,75.2,94,75,9.22
230,Hiriyur,IN,2021-03-27 20:23:05,13.9456,76.6192,79.93,30,56,8.14
