City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.2,49,9,8.95,clear sky
70,Anqing,CN,30.5092,117.0506,62.92,76,0,2.93,light rain
71,Arraial Do Cabo,BR,-22.9661,-42.0278,89.6,74,20,9.22,few clouds
72,Severo-Kurilsk,RU,50.6789,156.125,25.05,77,53,13.69,broken clouds
73,Torbay,CA,47.6666,-52.7314,28.99,80,90,14.97,snow
74,Nantucket,US,41.2835,-70.0995,46.4,93,90,19.57,overcast clouds
75,Kavieng,PG,-2.5744,150.7967,82.85,75,79,14.5,broken clouds
76,Kapaa,US,22.0752,-159.319,73.0,78,75,18.41,broken clouds
77,Muros,ES,42.7762,-9.0603,77.0,41,0,10.0,clear sky
78,Qarqin,AF,37.4185,66.0436,49.84,83,100,22.77,moderate rain
79,Ushuaia,AR,-54.8,-68.3,46.4,57,40,26.46,scattered clouds
80,Yarada,IN,17.65,83.2667,84.2,79,40,4.61,mist
81,Hermanus,ZA,-34.4187,19.2345,71.01,65,100,5.01,overcast clouds
82,Sao Joao Da Barra,BR,-21.6403,-41.0511,89.6,55,40,2.3,scattered clouds
83,Biskamzha,RU,53.4497,89.5272,32.9,93,100,3.2,overcast clouds
84,Palmer,US,42.1584,-72.3287,50.0,87,90,8.05,moderate rain
85,Teya,RU,60.3778,92.6267,22.3,97,100,0.81,overcast clouds
86,Saldanha,ZA,-33.0117,17.9442,77.0,36,100,14.97,overcast clouds
87,Sijunjung,ID,-0.6876,100.9537,72.79,97,84,1.9,broken clouds
88,Port Alfred,ZA,-33.5906,26.891,66.43,67,98,17.56,overcast clouds
89,Kavaratti,IN,10.5669,72.642,84.2,73,100,7.96,overcast clouds
90,Fountain,US,38.6822,-104.7008,48.2,42,1,5.75,clear sky
91,Poum,NC,-20.2333,164.0167,79.99,77,13,9.95,few clouds
92,Ostersund,SE,63.1792,14.6357,37.0,100,90,13.8,mist
93,Lishui,CN,28.4604,119.9103,64.92,94,2,2.42,clear sky
94,Sola,VU,-13.8833,167.55,82.15,77,17,17.27,few clouds
95,Gimli,CA,50.6336,-96.9907,23.0,80,88,9.22,overcast clouds
96,Qui Nhon,VN,13.7667,109.2333,75.76,91,89,4.85,overcast clouds
97,Bluff,NZ,-46.6,168.3333,53.01,97,100,4.5,overcast clouds
98,Kurush,RU,41.2841,47.8345,48.2,66,40,6.91,scattered clouds
99,Taylorville,US,39.5489,-89.2945,45.0,53,1,23.02,clear sky
100,Yauya,PE,-8.9833,-77.3,57.9,55,74,4.0,broken clouds
101,Rusape,ZW,-18.5278,32.1284,63.3,81,85,8.59,overcast clouds
102,Fortuna,US,40.5982,-124.1573,39.2,100,90,8.05,overcast clouds
